"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 22:15:25 BDT 2024","Sat Jun 01 22:15:36 BDT 2024","11061","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Jun 01 22:16:14 BDT 2024","Sat Jun 01 22:16:25 BDT 2024","11044","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Jun 01 22:13:14 BDT 2024","Sat Jun 01 22:13:26 BDT 2024","12481","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Jun 01 22:13:44 BDT 2024","Sat Jun 01 22:13:57 BDT 2024","12483","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Jun 01 22:14:45 BDT 2024","Sat Jun 01 22:14:56 BDT 2024","11050","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Jun 01 22:16:57 BDT 2024","Sat Jun 01 22:17:09 BDT 2024","11151","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Jun 01 22:11:26 BDT 2024","Sat Jun 01 22:11:37 BDT 2024","11020","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithoutPassword","testLoginWithoutPassword",""
"passed","Sat Jun 01 22:10:51 BDT 2024","Sat Jun 01 22:11:02 BDT 2024","11052","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithoutEmail","testLoginWithoutEmail",""
"passed","Sat Jun 01 22:06:55 BDT 2024","Sat Jun 01 22:07:38 BDT 2024","43930","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithValidCredentials","User login with valid credentials","Test added using allure: User login with valid credentials"
"passed","Sat Jun 01 22:09:37 BDT 2024","Sat Jun 01 22:09:49 BDT 2024","11971","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidEmailAndPassword","testLoginWithInvalidEmailAndPassword",""
"passed","Sat Jun 01 22:12:28 BDT 2024","Sat Jun 01 22:12:40 BDT 2024","12326","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Jun 01 22:09:01 BDT 2024","Sat Jun 01 22:09:13 BDT 2024","12618","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidEmail","testLoginWithInvalidEmail",""
"passed","Sat Jun 01 22:12:02 BDT 2024","Sat Jun 01 22:12:13 BDT 2024","10855","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithoutEmailAndPassword","testLoginWithoutEmailAndPassword",""
"passed","Sat Jun 01 22:10:09 BDT 2024","Sat Jun 01 22:10:20 BDT 2024","11404","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidEmailFormat","testLoginWithInvalidEmailFormat",""
"passed","Sat Jun 01 22:08:03 BDT 2024","Sat Jun 01 22:08:16 BDT 2024","12744","All Test Suite","C:/Users/user/IdeaProjects/WebAutomationPOM/src/test/java/testcases","testcases.TestLogin","testcases.TestLogin","testLoginWithInvalidPassword","testLoginWithInvalidPassword",""
